Current Team,Jersey Number,Pos,DOB,Hometown,Name,Nickname,Previous teams,College,Intl
Angel City,19,Goalkeeper,"Mar 22, 2001","Danville, CA",Angelina Anderson,,None,Cal,
Angel City,24,Forward,"Jan 12, 2000","Dallas, TX",Messiah Bright,,Orlando Pride,Texas Christian,
Angel City,27,Defense,"Jan 23, 2001","Coto de Caza, CA",Madison Curry,,None (rookie),Princeton,
Angel City,8,Midfield,"July 27, 1995","Largo, FL",Meggie Dougherty-Howard,,"San Diego Wave, Orlando Pride, Washington Spirit",Florida,
Angel City,10,Midfield/Forward,"March 8, 1994","Edinburgh, Scotland",Claire Emslie,,"Orlando Pride, Everton, Manchester City",Florida Atlantic,Scotland
Angel City,17,Midfield,"March 9, 2007","Southlake, TX",Kennedy Fuller,,None (rookie),None,
Angel City,11,Defense,"Sept 13, 1992","Elk Grove Village, IL",Sarah Gorden,,Chicago Red Stars,Depaul,
Angel City,99,Defense,"Nov 15, 1997","Albuquerque, NM",Madison Hammond,,Reign FC,Wake Forest,
Angel City,13,Goalkeeper,"Apr 12, 1991",,DiDi Haracic,,"Gotham FC, Washington Spirit, Western New York",Loyola,Bosnia & Herzegovina
Angel City,33,Forward,"Sept 14, 1994","Monrovia, CA",Katie Johnson,,"San Diego Wave, Chicago Red Stars, Sky Blue, Reign FC",Southern California,Mexico
Angel City,29,Midfield,"Dec 14, 1994","Quimperle, France",Clarisse Le Bihan,,"Montpellier, Guingamp",None,France
Angel City,2,Forward,"May 7, 1990",,Sydney Leroux,,"Orlando Pride, Western New York, FC Kansas City, Boston Breakers, Reign FC",UCLA,USA
Angel City,12,Defense,"July 2, 1990","Birmingham, AL",Merritt Mathias,,"North Carolina Courage, FC Kansas City, Reign FC",Texas A&M and North Carolina,USA
Angel City,28,Midfield,"Sept 24, 1999","Tarzana, CA",Lily Nabet,,None,Duke,
Houston Dash,,Defense,"Oct 14, 1994","Lincoln, NE",Paige Nielsen,,"Washington Spirit, Reign FC, Canberra United, Apollon, Angel City",North Carolina,
Angel City,9,Forward,"June 29, 2007","Warren Township, NJ",Casey Phair,,None (rookie),None,South Korea
Angel City,6,Defense,"July 2, 1990","Orinda, CA",Megan Reid,,None,Virginia,
Angel City,5,Defense,"Oct 30, 1987","Pacific Palisades, CA",Ali Riley,,"Orlando Pride, Rosengard, Chelsea, Bayern Munich, FC Gold Pride, Western New York",Stanford,New Zealand
Angel City,7,Midfield,"Oct 28, 1993","San Jose, Costa Rica",Rocky Rodriguez,Raquel Rodriguez,"Portland Thorns, Sky Blue",Penn State,Costa Rica
Angel City,3,Defense/Forward,"Aug 27, 1990","Bay Shore, NY",Jasmyne Spencer,,"Houston Dash, Melbourne City, Seattle Reign, Canberra United, Orlando Pride, Sydney FC, Western New York Flash, Apollon Limassol, Washington Spirit, Brøndby IF,",Maryland,
Angel City,20,Defense,"Dec 2, 2005","Studio City, CA",Giselle Thompson,,None (rookie),None,
Angel City,21,Forward,"Nov 7, 2004","Studio City, CA",Alyssa Thompson,,None,None,USA
Angel City,16,Defense,"Feb 11, 1998","Cincinnati, OH",MA Vignola,,"Valur, Þróttur",Tennessee,USA
Bay FC,18,Midfield,"Oct 6, 1998","San Jose, CA",Joelle Anderson,,Houston Dash,Pepperdine,
Bay FC,19,Midfield,"Jan 28, 1997","Mission, KS",Dorian Bailey,,Washington Spirit,North Carolina,
Bay FC,5,Defense,"May 13, 1991","Glasgow, Scotland",Jen Beattie,,Arsenal,None,Scotland
Bay FC,12,Midfield,"Feb 3, 1999","Highlands Ranch, CO",Tess Boade,,North Carolina Courage,Duke,
Bay FC,11,Forward,"Nov 20, 2000","San Diego, CA",Scarlett Camberos,,"Angel City FC, Club America",UC Irvine,Mexico
Bay FC,10,Midfield,"Apr 18, 1999","Maracay, Venezuela",Deyna Castellanos,,Manchester City,Florida State,Venezuela
Bay FC,6,Midfield,"May 11, 2001","Davis, CA",Maya Doms,,None (rookie),Stanford,
Bay FC,3,Defense,"Aug 19, 1993","Honolulu, HI",Caprice Dydasco,,"Houston Dash, Gotham, Washington Spirit, Newcastle Jets",UCLA,
Bay FC,21,Forward,"Apr 17, 1995","Rollinsford, NH",Rachel Hill,,"San Diego Wave, Chicago Red Stars, Orlando Pride, Perth Glory, Linkopings",Connecticut,
Bay FC,2,Defense,"Feb 7, 2005","West Hills, CA",Savy King,,None (rookie),North Carolina,
Bay FC,9,Forward,"June 3, 2000",,Rachael Kundananji,,"Madrid, Eibar",None,Zambia
Bay FC,22,Defense/Midfield,"June 19, 1999","Thornton, CO",Alex Loera,,KC Current,Santa Clara,
Bay FC,20,Defense,"Apr 9, 1999","Spring, TX",Alyssa Malonson,,"Reign FC, FC Nordsjaelland",Auburn,
Bay FC,4,Defense,"July 28, 1992","Garden City, NY",Emily Menges,,Portland Thorns,Georgetown,
Bay FC,8,Forward,"Oct 9, 1994","Ikorodu, Nigeria",Asisat Oshoala,,FC Barcelona,None,Nigeria
Bay FC,23,Defense,"Apr 30, 1999","Santa Barbara, CA",Kiki Pickett,,"NC Courage, KC Current",Stanford,
Bay FC,44,Goalkeeper,"Apr 17, 1999","Boucherville, Quebec, Canada",Lysianne Proulx,,"Torreense, Melbourne City",Syracuse,
Bay FC,0,Goalkeeper,"Mar 16, 1994","Vacaville, CA",Katelyn Rowland,,"NC Courage, KC Current",UCLA,
Bay FC,27,Defense,"June 17, 1997","Naperville, IL",Kayla Sharples,,"Chicago Red Stars, Adelaide United, KuPS",Northwestern,
Chicago Red Stars,5,Midfield,"Oct 7, 1997","Xanxere, Brazil",Julia Bianchi,,"Madrid, Palmeiras",None,Brazil
Chicago Red Stars,30,Defense,"Aug 11, 1998","Lombard, IL",Camryn Bieglaski,,Washington Spirit,Wisconsin,
Chicago Red Stars,24,Forward,"Apr 19, 1998","Trumbull, CT",Jenna Bike,,Gotham FC,Boston College,
Chicago Red Stars,6,Forward,"July 18, 2000","Coto de Caza, CA",Ally Cook,,None (rookie),UCLA,
Chicago Red Stars,7,Forward,"Oct 3, 1998","Battle Creek, MI",Ava Cook,,None,Michigan State and Grand Vallet State University,
Chicago Red Stars,26,Forward,"Nov 9, 1996","Viseu, Portugal",Nadia Gomes,,Orlando Pride,Brigham Young,Portugal
Chicago Red Stars,15,Midfield,"Apr 30, 1999","Naperville, IL",Sarah Griffith,,Newcastle Jets,Purdue,
Chicago Red Stars,10,Midfield,"Mar 4, 1993","Liberty, MO",Shea Groom,,"FC Kansas City, Houston Dash, Reign FC, Sky Blue",Texas A&M,
Chicago Red Stars,55,Forward,"Dec 29, 1999","Anaheim, CA",Penelope Hocking,,None,Penn State and Southern California,
Chicago Red Stars,8,Forward,"May 3, 2002","Beltsville, MD",Jameese Joseph,,None (rookie),NC State,
Chicago Red Stars,12,Defense,"Dec 1, 1995","Femi, Finland",Natalia Kuikka,,"Portland Thorns, Kopparbergs/Goteborg",Florida State,Finland
Chicago Red Stars,32,Midfield,"May 20, 1999","Broken Arrow, OK",Taylor Malham,,Racing Louisville,Arkansas,
Chicago Red Stars,23,Defense,"Apr 17, 1998","Orland Park, IL",Tatumn Milazzo,,None,South Carolina,
Chicago Red Stars,1,Goalkeeper,"Apr 20, 1988","Stratford, CT",Alyssa Naeher,,"Boston Breakers, Turbine Potsdam",Penn State,USA
Chicago Red Stars,13,Midfield,,"St. David's, Bermuda",Leilanni Nesbeth,,None (rookie),Florida State,Bermuda
Chicago Red Stars,28,Defense,"Nov 18, 1993",,Maximiliane Rall,,"Bayern Munich, Hoffenheim",None,Germany
Chicago Red Stars,4,Midfield,"July 18, 1994","East Islip, NY",Cari Rocarro,,"NC Courage, Houston Dash, Angel City",Notre Dame,
Chicago Red Stars,34,Forward,"Feb 7, 2000","Parker, CO",Ally Schlegel,,None,Penn State,
Chicago Red Stars,37,Goalkeeper,"Aug 31, 1999","Dayton, NJ",Sydney Schneider,,"KC Current, Washington Spirit, Sparta Prague",UNCW,Jamaica
Chicago Red Stars,3,Defense,"March 28, 1997","San Diego, CA",Sam Staab,Samantha Staab,"Washington Spirit, Western Sydney Wanderers",Clemson,
Chicago Red Stars,9,Forward,"Apr 29, 1998","Highlands Ranch, CO",Mallory Swanson,Mal Swanson,"Washington Spirit, Sky Blue",None,USA
Houston Dash,11,Forward,"Apr 28, 1997","La Jolla, CA",Michelle Alozie,,BIIK Kazygurt,Tennessee and Yale,Nigeria
Portland Thorns,,Goalkeeper,"June 9, 1998","El Paso, Texas",Emily Alvarado,,"Reims, Houston Dash",Texas Christian,Mexico
Houston Dash,10,Midfield/Defense,"Nov 10, 1992","Sao Paulo, Brazil",Andressa Alves,Andressa,"Centro Olimpico, Ferroviaria, Sao Jose, Boston Breakers, Montpellier, FC Barcelona, AS Roma",None,Brazil
Houston Dash,19,Midfield,"Oct 3, 1998","Alpharetta, GA",Belle Briede,,San Diego Wave,Stanford,
Houston Dash,1,Goalkeeper,"Feb 17, 1995","Kennesaw, Georgia",Jane Campbell,,None,Stanford,USA
Houston Dash,3,Defense,,,Madelyn Desiano,,None,UCLA,
Houston Dash,33,Defense,"Apr 8, 2000","Hazlet, NJ",Jylissa Harris,,None,South Carolina,
Houston Dash,20,Midfield,"Feb 25, 2000","Seattle, WA",Sophie Hirst,,None,Harvard,
Houston Dash,4,Defense,"Aug 16, 1997","Coto de Caza,  CA",Natalie Jacobs,,"Washington Spirit, Real Betis",Southern California and Notre Dame,
Houston Dash,5,Midfield/Forward,"Aug 7, 1997","Overland Park, KS",Cece Kizer,,"Racing Louisville, KC Current",Ole Miss,
Houston Dash,14,Forward,"Jul 15, 1987","Atsugi, Japan",Yuki Nagasato,,"Nippon TV Beleza, Turbine Potsdam, Chelsea, Wolfsburg, Frankfurt, Chicago Red Stars, Brisbane Roar, Racing Louisville",None,Japan
Houston Dash,15,Forward,"Feb 24, 2002","Katy, TX",Barbara Olivieri,,Monterrey,Texas A&M,Venezuela
Houston Dash,9,Forward,"Sept 26, 2001","Prosper, TX",Diana Ordoñez,,NC Courage,Virginia,Mexico
Houston Dash,30,Forward,"June 14, 2002",,Avery Patterson,,None (rookie),North Carolina,
Houston Dash,8,Defense,"Oct 28, 1997","Royal Oak, MI",Courtney Petersen,,Orlando Pride,Virginia,
Houston Dash,17,Midfield,"Oct 13, 1992","Raning, Austria",Sarah Puntigam,,"Bayern Munich, SC Freiburg, Montpellier, FC Koln",None,Austria
Houston Dash,31,Midfield,"May 11, 1993","Ystad, Sweden",Elin Rubensson,,"FC Malmo, FC Rosengard, Kopparsbergs/Goteborg, BK Hacken",None,Sweden
San Diego Wave,,Midfield,"Feb 20, 1996","American Falls, Idaho",Maria Sanchez,,"Chicago Red Stars, Guadalajara, Tigres, Houston Dash",Santa Clara and Idaho State,Mexico
Houston Dash,13,Midfield,"June 18, 1988","Winnipeg, Manitoba, Canada",Sophie Schmidt,,"MagicJack, Kristianstads, Sky Blue, Frankfurt",Portland,Canada
Houston Dash,6,Midfield,"Feb 23, 1993","Gainesville, FL",Havana Solaun,,"Reign FC, Washington Spirit, Klepp, NC Courage",Florida,Jamaica
Houston Dash,22,Defense,"Jan 2, 2001","Pasadena, CA",Croix Soto,,KC Current,Oregon,
Houston Dash,12,Midfield,"Oct 25, 2001","Buffalo Grove, IL",Kiki Van Zanten,,None (rookie),Notre Dame,Jamaica
Houston Dash,16,Forward,"Feb 11, 2001","Burlington, Ontario, Canada",Amanda West,,None (rookie),Pittsburgh,
Kansas City Current,7,Defense,"Oct 20, 1995","Newport News, VA",Elizabeth Ball,,"Utah Royals, Portland Thorns",Penn State,
Kansas City Current,12,Defense,"Jan 3, 1994","Vellev, Denmark",Stine Ballisager,,"VSK Aarhus, Valerenga",None,Denmark
Kansas City Current,13,Midfield,"Jan 26, 2000","Beaverton, OR",Sophie Braun,,Leon,Gonzaga,Argentina
Kansas City Current,6,Forward,"Sept 20, 1998",,Temwa Chawinga,,"Kvarnsvedens IK, Wuhan Jianghan",None,Malawi
Kansas City Current,17,Forward,"Dec 4, 2002","Detroit, MI",Michelle Cooper,,None,Duke,
Kansas City Current,16,Midfield,"May 15, 1992","Naperville, IL",Vanessa DiBernardo,,"Chicago Red Stars, Perth Glory",Illinois,
Kansas City Current,22,Midfield,"Mar 14, 1997","Cincinnati, OH",Bayley Feist,,Washington Spirit,Wake Forest,
Kansas City Current,21,Goalkeeper,"Nov 12, 1990","Salina, KS",Adrianna Franch,,"Western New York, Avaldsnes, Portland Thorns",Oklahoma State,USA
Kansas City Current,25,Forward,"Apr 17, 1992","Littleton, CO",Kristen Hamilton,,"Western New York, NC Courage, Western Sydney Wanderers",Denver,USA
Kansas City Current,14,Midfield,"Jan 11, 2006","Bethlehem, NY",Claire Hutton,,None (rookie),None,
Kansas City Current,10,Midfield,"Mar 18, 1993","Rancho Cucamonga, CA",Lo'eau LaBonta,Lo LaBonta,"Sky Blue, FC Kansas City, Western Sydney Wanderers, Utah Royals",Stanford,
Kansas City Current,94,Midfield,"Jun 18, 1994","Calais, France",Claire Lavogez,,"Monpellier, Lyon, Fleury, Bordeaux",None,France
Kansas City Current,78,Defense,"Sep 13, 2002","Votorantim, Sao Paulo, Brazil",Lauren Leal,Lauren,"Sao Paulo, Madrid CFF",None,Brazil
Kansas City Current,4,Defense,"Mar 24, 1997","Ventura, CA",Hailie Mace,,"Melbourne City, FC Rosengard, NC Courage, Kristianstads DFF",UCLA,USA
Kansas City Current,47,Forward,"Nov 26, 2007","St. Louis, MO",Alex Pfeiffer,,None (rookie),None,
Kansas City Current,8,Forward,"Feb 19, 1995","Ajax, Ontario, Canada",Nichelle Prince,,Houston Dash,Ohio State,Canada
Kansas City Current,24,Defense,,,Gabby Robinson,,None,West Virginia,
Kansas City Current,18,Defense/Midfield,"Apr 13, 1999","Canton, MI",Izzy Rodriguez,,None,Ohio State,
Kansas City Current,11,Midfield,"Jul 31, 1987","Winnipeg, Manitoba, Canada",Desiree Scott,,"Vancouver Whitecaps, FC Kansas City, Notts County, Utah Royals",None,Canada
Kansas City Current,29,Goalkeeper,,,Jordan Silkowitz,,Brisbane Roar,Iowa State,
Kansas City Current,77,Forward,,,Alexa Spaanstra,,None,Virginia,
Kansas City Current,5,Defense,,,Ellie Wheeler,,None (rookie),Penn State,
Kansas City Current,9,Forward,"Dec 17, 1993","Araraquara, Sao Paulo, Brazil",Bia Zaneratto,Bia,"Hyundai Steel Red Angels, Wuhan Jianghan, Palmeiras",None,Brazil
Kansas City Current,99,Midfield,"Oct 20, 1991","Brasopolis, Minas Gerais, Brazil",Debinha ,,"Centro Olimpico, Avaldsnes, Sao Jose, Dalian Quanjian, NC Courage",None,Brazil
Racing Louisville,19,Midfield,"Oct 28, 1996","Highlands Ranch, CO",Jordan Baggett,,Washington Spirit,Stanford,
Racing Louisville,23,Forward,"May 26, 1998","Buford, GA",Elexa Bahr,,"Racing Feminas, America de Cali",South Carolina,Colombia
Racing Louisville,24,Goalkeeper,"Oct 14, 1997","Hartland, WI",Jordyn Bloomer,,Western Sydney Wanderers,Wisconsin,
Racing Louisville,8,Midfield,"Dec 28, 1999","Sao Luis, Maranhao, Brazil",Ary Borges,,"Sport Recife, Sao Paulo, Palmeiras",None,Brazil
Racing Louisville,7,Midfield,"Mar 26, 1998","Long Beach, CA",Savannah DeMelo,,None,Southern California,USA
Racing Louisville,14,Midfield,"Feb 5, 1997","Troy, MI",Marisa DiGrande,Marisa Viggiano,"Houston Dash, Orlando Pride",Northwestern,
Racing Louisville,20,Defense,"Nov 20, 1989","Whangarei, New Zealand",Abby Erceg,,"Three Kings Unites, Fencibles United, Adelaide United, USV Jena, Chicago Red Stars, Western New York, NC Courage",None,New Zealand
Racing Louisville,9,Forward,"Jan 5, 2000","Kent, OH",Kayla Fischer,,None,Ohio State,
Racing Louisville,26,Midfield,"Nov 22, 1998","Las Vegas, NV",Taylor Flint,Taylor Kornieck,"Orlando Pride, San Diego Wave, Duisburg",Colorado,USA
Racing Louisville,21,Forward,"Dec 8, 1998","Tulsa, OK",Parker Goins,,None,Arkansas,
Racing Louisville,6,Midfield,"Nov 21, 1999","Lone Tree, CO",Jaelin Howell,,None,Florida State,USA
Racing Louisville,5,Defense,"Jan 31, 1997","Coventry, CT",Ellie Jean,,"PSV Eindhoven, Gotham FC",Penn State,
Racing Louisville,29,Forward,"June 20, 1997","Abia, Nigeria",Uchenna Kanu,,"Sevilla, Linkopings, Tigres",Southeastern University,Nigeria
Racing Louisville,1,Goalkeeper,"Nov 27, 1996","Plano, TX",Katie Lund,,Washington Spirit,Arkansas,
Racing Louisville,2,Defense,"Dec 1, 1996","Durango, CO",Lauren Milliet,,NC Courage,Denver,
Racing Louisville,16,Defense,"Sep 15, 1993","Fleming Island, FL",Carson Pickett,,"Reign FC, Brisbane Roar, Orlando Pride, NC Courage",Florida State,USA
Racing Louisville,17,Midfield,"Nov 24, 1996","St. Louis, MO",Maddie Pokorny,,HB Koge,Saint Louis University,
Racing Louisville,13,Forward,"Feb 23, 2001","Dublin, OH",Emma Sears,,None (rookie),Ohio State,
Racing Louisville,66,Forward,"Oct 18, 2002","Lakewood, CA",Reilyn Turner,,None (rookie),UCLA,
Racing Louisville,3,Defense,"Dec 25, 1992","Wilmore, KY",Arin Wright,,"Chicago Red Stars, Newcastle Jets",Kentucky,
North Carolina Courage,7,Defense,"Feb 13, 1998","Liberty Township, OH",Malia Berkely,,Bordeaux,Florida State,
North Carolina Courage,51,Goalkeeper,"Aug 3, 2000","Edmond, OK",Hensley Hancuff,,,Clemson,
North Carolina Courage,5,Forward,"Dec 21, 1998","Newport Beach, CA",Haley Hopkins,,None,Virginia and Vanderbilt,
North Carolina Courage,16,Midfield,"Dec 2, 2005","Roswell, GA",Riley Jackson,,None,None,
North Carolina Courage,3,Defense,"Sept 9, 1994","Greenville, SC",Kaleigh Kurtz,,,South Carolina,
North Carolina Courage,14,Forward,"Jan 26, 1995","Gibson Island, MD",Tyler Lussi,,"Portland Thorns, Angel City",Princeton,
North Carolina Courage,34,Midfield,"July 28, 2004","Sendai, Japan",Manaka Matsukubo,,,None,
North Carolina Courage,19,Midfield,"July 19, 2000","Pittsburgh, PA",Landy Mertz,,None (rookie),Pittsburgh and Dayton,
North Carolina Courage,6,Midfield,"July 3, 1997","Kawasaki, Japan",Narumi Miura,,,None,Japan
North Carolina Courage,1,Goalkeeper,"Apr 25, 1996","Bridgewater, NJ",Casey Murphy,,"Montpellier, Reign FC",Rutgers,USA
North Carolina Courage,10,Midfield,"Feb 4, 1994","Cork, Ireland",Denise O'Sullivan,,"Houston Dash, Peamount United, Cork City, Glasgow City",None,Ireland
North Carolina Courage,94,Midfield,"Aug 12, 1996","Barrie Ontario, Canada",Victoria Pickett,,"KC Current, Gotham",Wisconsin,
North Carolina Courage,8,Midfield,"May 24, 2000","Durham, NC",Brianna Pinto,,Gotham,North Carolina,
North Carolina Courage,11,Defense,"Apr 30, 1996","Berlin, Germany",Feli Rauch,Felicitaus Rauch,"Wolfsburg, Turbine Potsdam",None,Germany
North Carolina Courage,2,Forward,"Mar 16, 1999","Monrovia, CA",Ashley Sanchez,,Washington Spirit,UCLA,USA
North Carolina Courage,23,Defense,"July 28, 1997","St-Felix-de-Valois, Quebec, Canada",Bianca St. Georges,,Chicago Red Stars,West Virginia,Canada
North Carolina Courage,17,Midfield,"Mar 17, 1994","Capistrano Beach, CA",Dani Weatherholt,,"Orlando Pride, Reign FC, Angel City",Santa Clara,
